City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Severomuysk,RU,56.1481,113.4267,10.27,94,98,3.8,overcast clouds
70,Georgetown,MY,5.4112,100.3354,85.95,62,20,10.36,few clouds
71,Avarua,CK,-21.2078,-159.775,82.45,83,90,6.91,moderate rain
72,Vallenar,CL,-28.5708,-70.7581,65.89,55,11,1.99,few clouds
73,Andenes,NO,69.3143,16.1194,21.18,73,16,12.66,few clouds
74,Olafsvik,IS,64.8945,-23.7142,36.3,55,100,16.13,overcast clouds
75,Port Blair,IN,11.6667,92.75,82.44,65,40,9.22,scattered clouds
76,Rikitea,PF,-23.1203,-134.9692,76.48,72,19,9.31,few clouds
77,Severo-Kurilsk,RU,50.6789,156.125,37.51,88,95,30.15,light rain
78,Hobyo,SO,5.3505,48.5268,78.35,70,100,14.52,overcast clouds
79,Taoudenni,ML,22.6783,-3.9836,61.48,23,100,15.08,overcast clouds
80,Tateyama,JP,34.9833,139.8667,63.1,81,100,21.12,overcast clouds
81,Salisbury,GB,51.0693,-1.7957,39.42,88,90,9.22,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,80.22,76,24,10.29,few clouds
83,Carnarvon,AU,-24.8667,113.6333,78.87,69,90,11.5,overcast clouds
84,Cidreira,BR,-30.1811,-50.2056,68.0,71,16,13.98,few clouds
85,Bairiki,KI,1.3292,172.9752,87.8,66,75,12.66,light rain
86,Zhanaozen,KZ,43.3,52.8,38.64,68,6,2.8,clear sky
87,Chokurdakh,RU,70.6333,147.9167,-21.71,98,100,1.19,overcast clouds
88,New Norfolk,AU,-42.7826,147.0587,58.71,49,88,4.0,overcast clouds
89,Saint George,US,37.1041,-113.5841,60.35,38,1,1.01,clear sky
90,Mananjary,MG,-21.2167,48.3333,74.57,84,0,4.7,clear sky
91,Butaritari,KI,3.0707,172.7902,83.17,74,73,12.28,broken clouds
92,Khatanga,RU,71.9667,102.5,-6.83,98,100,8.05,light snow
93,Aklavik,CA,68.2191,-135.0107,18.32,82,100,6.69,overcast clouds
94,Dalhousie,IN,32.5333,75.9833,37.47,46,0,7.92,clear sky
95,Fuyang,CN,32.9,115.8167,50.05,49,30,9.73,scattered clouds
96,Port Augusta,AU,-32.5,137.7667,77.7,49,37,20.83,scattered clouds
97,Panaba,MX,21.2833,-88.2667,74.93,89,2,8.21,clear sky
98,Kaitangata,NZ,-46.2817,169.8464,58.93,78,83,12.26,broken clouds
99,Solnechnyy,RU,50.7214,136.6319,19.09,57,3,5.21,clear sky
100,Vrangel,RU,42.7297,133.0839,37.56,41,0,1.3,clear sky
101,Ujjain,IN,23.1833,75.7667,63.48,58,0,9.08,clear sky
102,Karratha,AU,-20.7377,116.8463,99.82,27,55,10.04,broken clouds
103,Bambous Virieux,MU,-20.3428,57.7575,81.21,69,20,10.36,light rain
104,Half Moon Bay,US,37.4636,-122.4286,54.63,90,90,0.0,mist
105,Kalemie,CD,-5.9475,29.1947,71.11,86,100,4.79,overcast clouds
106,Banjar,ID,-8.19,114.9675,87.66,88,100,4.61,overcast clouds
107,Bredasdorp,ZA,-34.5322,20.0403,52.92,94,97,4.61,overcast clouds
108,Terrak,NO,65.087,12.3715,24.67,79,4,12.62,clear sky
109,Atar,MR,20.5169,-13.0499,64.36,17,2,8.9,clear sky
110,Cartagena,CO,10.3997,-75.5144,78.42,94,0,3.44,clear sky
111,Castlemaine,AU,-37.0667,144.2167,58.35,63,98,11.39,overcast clouds
112,Talnakh,RU,69.4865,88.3972,-9.8,99,100,10.98,light snow
113,Souillac,MU,-20.5167,57.5167,81.36,69,20,10.36,few clouds
114,Thompson,CA,55.7435,-97.8558,-27.24,75,20,0.0,few clouds
115,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,90,16.11,overcast clouds
116,Busselton,AU,-33.65,115.3333,77.09,40,0,12.82,clear sky
117,Whitehorse,CA,60.7161,-135.0538,11.01,84,90,25.01,overcast clouds
118,Palafrugell,ES,41.9174,3.1631,43.72,68,98,3.42,overcast clouds
119,Grand Gaube,MU,-20.0064,57.6608,81.37,64,1,10.0,clear sky
120,Tezu,IN,27.9167,96.1667,70.54,71,72,1.95,broken clouds
121,Lidkoping,SE,58.5052,13.1577,21.22,88,99,7.56,overcast clouds
122,Vanimo,PG,-2.6741,141.3028,83.89,79,99,2.13,overcast clouds
123,Lompoc,US,34.6391,-120.4579,58.12,86,90,6.91,mist
124,Nha Trang,VN,12.25,109.1833,78.8,74,100,11.1,overcast clouds
125,Cape Town,ZA,-33.9258,18.4232,62.1,81,20,3.0,few clouds
126,Astana,KZ,51.1801,71.446,21.15,93,90,8.95,mist
127,Tasiilaq,GL,65.6145,-37.6368,30.36,90,100,5.14,light snow
128,Yakeshi,CN,49.2833,120.7333,17.65,84,11,8.03,few clouds
129,Bardsir,IR,29.9227,56.5743,26.65,48,0,3.06,clear sky
130,Nanortalik,GL,60.1432,-45.2371,23.02,57,1,33.6,clear sky
131,Esna,EG,25.2934,32.554,60.55,40,57,3.0,broken clouds
132,Berezhany,UA,49.45,24.9333,29.17,98,100,4.32,overcast clouds
133,Wilmington,US,34.2257,-77.9447,62.91,86,1,9.22,clear sky
