City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Soure,BR,78.93,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
545,Ipixuna,BR,76.95,moderate rain,-1.7625,-48.8043,Casa da Oscarina
548,Salina Cruz,MX,78.69,clear sky,16.1667,-95.2,Amerik HOTEL
555,Coffs Harbour,AU,83.14,overcast clouds,-30.3,153.1333,Aquajet Motel
559,Saint-Pierre,RE,80.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
570,Teknaf,BD,80.19,overcast clouds,20.8624,92.3058,Forestry Guesthouse
578,Inhambane,MZ,80.58,broken clouds,-23.865,35.3833,Oceano
579,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
588,Kulhudhuffushi,MV,82.62,broken clouds,6.6221,73.07,Haajy Guest House 1
590,Hervey Bay,AU,84.31,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
592,Luwuk,ID,85.05,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
599,Narrabri,AU,81.52,broken clouds,-30.3167,149.7833,Crossroads Hotel
606,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
607,Jardim,BR,77.04,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
611,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
612,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
613,Oriximina,BR,75.61,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
618,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
628,Acarau,BR,80.76,broken clouds,-2.8856,-40.12,castelo pizzaria
629,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
630,Libertador General San Martin,AR,78.94,heavy intensity rain,-23.8064,-64.7876,Posada del Sol
636,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
641,Bandarbeyla,SO,75.04,scattered clouds,9.4942,50.8122,JABIR HOTEL
644,Majene,ID,78.03,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
653,Sampit,ID,82.94,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
656,Panalingaan,PH,84.6,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
658,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
665,Pemangkat,ID,83.61,broken clouds,1.1667,108.9667,Ramah Kost KITA
666,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
667,Saint-Joseph,RE,79.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
668,Yenagoa,NG,76.17,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
674,Namatanai,PG,79.75,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
678,Lamu,KE,80.82,light rain,-2.2717,40.902,Lamu House
682,Chiang Rai,TH,78.3,clear sky,19.9167,99.9167,Bansaeo Garden and Resort
684,Manokwari,ID,84.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
685,Lobito,AO,77.22,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
688,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
690,Alice Springs,AU,87.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
691,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
692,Nuevo Progreso,MX,75.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
693,Atambua,ID,84.65,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
694,Kendari,ID,86.76,overcast clouds,-3.945,122.4989,Hotel Wixel
697,Dingle,PH,81.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
698,Gold Coast,AU,86.16,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
700,Okitipupa,NG,76.03,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
701,Aden,YE,78.35,few clouds,12.7794,45.0367,Sama Emirate Hotel
